persona_id,persona_name_en,persona_name_zh,journey,stage_id,scenario_id,scenario_zh,scenario_en,brand,asset_id,asset_web_path
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E2,E2-02,汇集零售商、SKU、促销、库存、价格和渠道信息,"Gather retailer, SKU, promotion, inventory, price and channel information.",General Mills,EP6,images/employee_role_placeholders/EP6.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E2,E2-02,汇集零售商、SKU、促销、库存、价格和渠道信息,"Gather retailer, SKU, promotion, inventory, price and channel information.",General Mills,EP7,images/employee_role_placeholders/EP7.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,E2,E2-03,统一查询研究、评论、消费者证据和概念测试结果,"Query research, reviews, consumer evidence and concept-test results in one place.",General Mills,EP2,images/employee_role_placeholders/EP2.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,E2,E2-03,统一查询研究、评论、消费者证据和概念测试结果,"Query research, reviews, consumer evidence and concept-test results in one place.",General Mills,EP4,images/employee_role_placeholders/EP4.png
EP11,AI / Data / IT Product Lead / PMO,AI / 数据 / IT 产品负责人 / PMO,Employee,E2,E2-03,统一查询研究、评论、消费者证据和概念测试结果,"Query research, reviews, consumer evidence and concept-test results in one place.",General Mills,EP11,images/employee_role_placeholders/EP11.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,E3,E3-01,汇总评论、社媒、调研和定量数据形成消费者洞察,"Synthesize reviews, social, research and quantitative data into insight.",General Mills,EP2,images/employee_role_placeholders/EP2.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E3,E3-02,基于市场信号生成 campaign、内容和场景假设,"Generate campaign, content and occasion hypotheses from market signals.",General Mills,EP3,images/employee_role_placeholders/EP3.png
EP5,E-commerce / CRM / Content Manager,电商 / CRM / 内容运营经理,Employee,E3,E3-02,基于市场信号生成 campaign、内容和场景假设,"Generate campaign, content and occasion hypotheses from market signals.",General Mills,EP5,images/employee_role_placeholders/EP5.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E3,E3-03,解释销量波动、预测偏差、缺货或积压原因,"Explain sales shifts, forecast error, stock-outs and excess inventory.",General Mills,EP7,images/employee_role_placeholders/EP7.png
EP11,AI / Data / IT Product Lead / PMO,AI / 数据 / IT 产品负责人 / PMO,Employee,E3,E3-03,解释销量波动、预测偏差、缺货或积压原因,"Explain sales shifts, forecast error, stock-outs and excess inventory.",General Mills,EP11,images/employee_role_placeholders/EP11.png
EP1,General Management / Business Sponsor,管理层 / 业务发起人,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP1,images/employee_role_placeholders/EP1.png
EP2,Consumer Insight Manager,消费者洞察经理,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP2,images/employee_role_placeholders/EP2.png
EP3,Brand / Marketing Manager,品牌 / 市场经理,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP3,images/employee_role_placeholders/EP3.png
EP4,Product Innovation / R&D Manager,产品创新 / 研发经理,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP4,images/employee_role_placeholders/EP4.png
EP6,Sales / KA / Trade / Merchandising Manager,销售 / 大客户 / 渠道 / 店头执行经理,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP6,images/employee_role_placeholders/EP6.png
EP7,Demand / Supply / Procurement Planner,需求 / 供应 / 采购计划人员,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP7,images/employee_role_placeholders/EP7.png
EP10,Legal / Compliance / Finance / Internal Control,法务 / 合规 / 财务 / 内控团队,Employee,E4,E4-01,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.,General Mills,EP10,images/employee_role_placeholders/EP10.png
