scenario_id,journey,stage_id,stage_name_en,stage_name_zh,persona_ids,brand,description_zh,description_en
E3-03,Employee,E3,Insight & Hypothesis Generation,洞察与假设生成,EP7 | EP11,General Mills,解释销量波动、预测偏差、缺货或积压原因,"Explain sales shifts, forecast error, stock-outs and excess inventory."
E4-01,Employee,E4,Cross-functional Review,跨职能评审,EP1 | EP2 | EP3 | EP4 | EP6 | EP7 | EP10,General Mills,使用统一数据和指标完成跨职能联合评审,Run cross-functional review with common data and metrics.
E4-02,Employee,E4,Cross-functional Review,跨职能评审,EP3 | EP4 | EP8 | EP10,General Mills,审核内容、产品声明、配方、包装、法规与品牌风险,"Review content, product claims, formulas, packaging, regulation and brand risk."
E5-01,Employee,E5,Decision & Action Planning,决策与行动规划,EP3 | EP5,General Mills,将决策拆解为 campaign、受众、内容、渠道和排期计划,"Translate decisions into campaign, audience, content, channel and schedule plans."
E5-02,Employee,E5,Decision & Action Planning,决策与行动规划,EP6 | EP10,General Mills,形成渠道策略、SKU 组合、促销、价格和客户行动计划,"Create channel strategy, SKU mix, promotion, pricing and customer action plans."
E5-03,Employee,E5,Decision & Action Planning,决策与行动规划,EP7 | EP8,General Mills,将预测转化为排产、采购、库存和补货动作,"Turn forecasts into production, procurement, inventory and replenishment actions."
E6-01,Employee,E6,Execution Support,执行支持,EP3 | EP5 | EP10,General Mills,规模化生成和本地化内容，同时确保品牌与合规一致性,Generate and localize content at scale while preserving brand and compliance.
E6-02,Employee,E6,Execution Support,执行支持,EP6 | EP8,General Mills,识别店头货架、陈列、缺货、价格和促销问题并整改,"Detect and correct shelf, display, stock-out, price and promotion issues."
E6-03,Employee,E6,Execution Support,执行支持,EP9,General Mills,自动回答重复咨询、分类反馈并辅助客服处理,"Automate common answers, classify feedback and assist customer service."
E7-01,Employee,E7,Learning & Knowledge Reuse,学习与知识复用,EP2 | EP3 | EP4 | EP5 | EP6 | EP7 | EP8 | EP11,General Mills,将项目、campaign、预测和运营经验沉淀为知识与 Agent,"Convert project, campaign, forecast and operating lessons into reusable knowledge and agents."
E7-02,Employee,E7,Learning & Knowledge Reuse,学习与知识复用,EP1 | EP10 | EP11,General Mills,统一管理 AI 用例的价值、风险、成熟度、资源与规模化状态,"Govern AI use-case value, risk, maturity, resources and scaling status."
B1-01,Business Operation,B1,Demand & Market Signal Intake,需求与市场信号接入,BP1 | BP2,General Mills,汇集社媒、电商、POS、天气、节日、竞品和消费者信号,"Ingest social, commerce, POS, weather, festival, competitor and consumer signals."
B1-02,Business Operation,B1,Demand & Market Signal Intake,需求与市场信号接入,BP7,General Mills,接入零售商 sell-out、店头反馈、促销、库存与渠道信号,"Ingest retailer sell-out, store feedback, promotion, inventory and channel signals."
B2-01,Business Operation,B2,Planning & Forecasting,规划与预测,BP4,General Mills,将节令、天气、促销和区域差异纳入需求预测,"Include seasonality, weather, promotion and regional differences in demand forecasting."
B2-02,Business Operation,B2,Planning & Forecasting,规划与预测,BP2 | BP9,General Mills,模拟活动预算、品牌投资和渠道资源分配方案,"Simulate campaign budget, brand investment and channel resource options."
B2-03,Business Operation,B2,Planning & Forecasting,规划与预测,BP4 | BP5,General Mills,联动需求、原料、采购、产能与生产计划,"Synchronize demand, materials, procurement, capacity and production planning."
B3-01,Business Operation,B3,Product / Campaign / Supply Decision,产品、活动与供应决策,BP3 | BP1,General Mills,进行新品、口味、包装和概念的 AI 消费者测试,"Run AI-enabled consumer testing for products, flavors, packaging and concepts."
B3-02,Business Operation,B3,Product / Campaign / Supply Decision,产品、活动与供应决策,BP2 | BP7,General Mills,比较活动、内容、受众、渠道和上市方案,"Compare campaign, content, audience, channel and launch options."
B3-03,Business Operation,B3,Product / Campaign / Supply Decision,产品、活动与供应决策,BP4 | BP7,General Mills,优化 SKU × 区域 × 渠道的供应与库存分配,"Optimize supply and inventory allocation by SKU, region and channel."
B4-01,Business Operation,B4,Production / Inventory / Channel Execution,生产、库存与渠道执行,BP5,General Mills,用计算机视觉进行生产质量检测和异常识别,Use computer vision for quality inspection and anomaly detection.
B4-02,Business Operation,B4,Production / Inventory / Channel Execution,生产、库存与渠道执行,BP4 | BP6,General Mills,根据需求、库存和节令变化生成补货与调拨建议,"Generate replenishment and transfer recommendations from demand, inventory and seasonality."
B4-03,Business Operation,B4,Production / Inventory / Channel Execution,生产、库存与渠道执行,BP7,General Mills,监测货架、冷柜、陈列、价格和促销执行并整改,"Monitor shelf, freezer, display, price and promotion execution and close the loop."
B5-01,Business Operation,B5,Sales / Fulfillment / Service Monitoring,销售、履约与服务监控,BP7 | BP9,General Mills,实时发现销量、转化、渠道或区域异常并触发行动,"Detect sales, conversion, channel or regional anomalies and trigger action."
B5-02,Business Operation,B5,Sales / Fulfillment / Service Monitoring,销售、履约与服务监控,BP6 | BP4,General Mills,监控订单、配送、冷链、缺货、取消和履约异常,"Monitor orders, delivery, cold chain, stock-outs, cancellations and fulfillment issues."
B6-01,Business Operation,B6,Performance & Risk Review,绩效与风险评审,BP2 | BP7 | BP9,General Mills,统一营销归因、活动 ROI、渠道投资和经营结果评审,"Align attribution, campaign ROI, channel investment and business result review."
B6-02,Business Operation,B6,Performance & Risk Review,绩效与风险评审,BP5 | BP8,General Mills,评审质量、内容、法规、品牌和经营风险,"Review quality, content, regulatory, brand and operating risks."
B6-03,Business Operation,B6,Performance & Risk Review,绩效与风险评审,BP4 | BP2,General Mills,分析原料价格、采购成本、供应商与供应风险,"Analyze material price, procurement cost, supplier and supply risks."
B7-01,Business Operation,B7,Optimization & Closed-loop Improvement,优化与闭环改进,BP1 | BP2 | BP3 | BP4 | BP5 | BP6 | BP7 | BP8 | BP9,General Mills,将复盘结论回写模型、规则、流程、知识与下一轮计划,"Write lessons back into models, rules, processes, knowledge and the next plan."
B7-02,Business Operation,B7,Optimization & Closed-loop Improvement,优化与闭环改进,BP9,General Mills,从点状 PoC 转向跨品牌 AI 组合、平台复用与规模化治理,"Move from isolated PoCs to cross-brand AI portfolios, platform reuse and scaled governance."
